Ticker,Date,Market,Direction,Quantity,Price,Currency,Consideration,Commission,Conversion rate
VOO,18/6/2021,Vanguard S&P 500 ETF,BUY,8,384.4,USD,-3075.2,0,1.3436965
VOO,1/6/2021,Vanguard S&P 500 ETF,BUY,2,387.71,USD,-775.42,0,1.3002021
APPL,28/5/2021,Apple Inc (All Sessions),BUY,1,125.05,USD,-125.05,0,1.3072748
QCOM,19/5/2021,QUALCOMM Inc (All Sessions),BUY,1,127.5,USD,-127.5,0,1.2981741
AMD,19/5/2021,Advanced Micro Devices Inc (All Sessions),BUY,2,73.4,USD,-146.8,0,1.2990028
PBW,19/5/2021,Invesco WilderHill Clean Energy Portfolio,BUY,2,75.75,USD,-151.5,0,1.2990028
ARKK,19/5/2021,ARK Innovation ETF,BUY,1,101.9,USD,-101.9,0,1.2988185
VIG,19/5/2021,Vanguard Specialized Funds - Vanguard Dividend Appreciation ETF,BUY,1,152.1,USD,-152.1,0,1.2988941
VOO,19/5/2021,Vanguard S&P 500 ETF,BUY,2,373.48,USD,-746.96,0,1.2999252
APPL,13/5/2021,Apple Inc (All Sessions),BUY,1,123.34,USD,-123.34,0,1.3065704
VOO,12/5/2021,Vanguard S&P 500 ETF,BUY,1,377.9,USD,-377.9,0,1.2963856
VOO,11/5/2021,Vanguard S&P 500 ETF,BUY,2,379.4,USD,-758.8,0,1.2858408
PBW,29/4/2021,Invesco WilderHill Clean Energy Portfolio,BUY,1,91.8,USD,-91.8,0,1.2940368
APPL,11/3/2021,Apple Inc (All Sessions),BUY,1,121.88,USD,-121.88,0,1.2930479
ARKK,11/3/2021,ARK Innovation ETF,BUY,1,128.16,USD,-128.16,0,1.2933304
VOO,11/3/2021,Vanguard S&P 500 ETF,BUY,1,362.545,USD,-362.55,0,1.2930152
SPY,10/3/2021,SPDR S&P 500 ETF Trust (All Sessions),SELL,-1,390.38,USD,390.38,0,1.2835592
SPY,10/3/2021,SPDR S&P 500 ETF Trust (All Sessions),BUY,1,390.41,USD,-390.41,0,1.3013365
VTI,10/3/2021,Vanguard Total Stock Market ETF,SELL,-3,263.14,AUD,789.42,-4.54,1
VIG,2/3/2021,Vanguard Specialized Funds - Vanguard Dividend Appreciation ETF,BUY,1,141.86,USD,-141.86,0,1.2893311
ARKK,25/2/2021,ARK Innovation ETF,BUY,1,128.66,USD,-128.66,0,1.2806246
PBW,25/2/2021,Invesco WilderHill Clean Energy Portfolio,BUY,1,105.89,USD,-105.89,0,1.2803884
